,category,rating,label,text_
0,Home_and_Kitchen_5,5.0,CG,love well made sturdy veri comfortable love veri pretti
1,Home_and_Kitchen_5,5.0,CG,love great upgrad original v mine coupl year
2,Home_and_Kitchen_5,5.0,CG,thi pillow save back love look feel thi pillow
3,Home_and_Kitchen_5,1.0,CG,miss inform use great product price
4,Home_and_Kitchen_5,5.0,CG,veri nice set good quality set two month
5,Home_and_Kitchen_5,3.0,CG,want differ flavor
6,Home_and_Kitchen_5,5.0,CG,perfect touch onli thing wish littl space
7,Home_and_Kitchen_5,3.0,CG,done fit well look great love smooth edg extra
8,Home_and_Kitchen_5,5.0,CG,great big number easi read onli thing n't like size
9,Home_and_Kitchen_5,5.0,CG,son love thi comfort veri well made also babi
10,Home_and_Kitchen_5,5.0,CG,advertised 5th one v onli problem realli
11,Home_and_Kitchen_5,5.0,CG,veri handi one kid tool includ package one
12,Home_and_Kitchen_5,5.0,CG,someon say `` orient '' great product
13,Home_and_Kitchen_5,1.0,CG,flimsy qualiti would expect piec furniture
14,Home_and_Kitchen_5,5.0,CG,make may tea stirring onli problem kind hard put
15,Home_and_Kitchen_5,5.0,CG,absolut adorable excel price wooden one month
16,Home_and_Kitchen_5,5.0,CG,love perfect size entir family veri good quality
17,Home_and_Kitchen_5,5.0,CG,look beauti nice onli problem realli mesh one
18,Home_and_Kitchen_5,5.0,CG,exactli would expect love look feel thi pillow
19,Home_and_Kitchen_5,5.0,CG,star would highli recommend thi item love thi blanket
20,Home_and_Kitchen_5,5.0,CG,great littl egg masher month
21,Home_and_Kitchen_5,5.0,CG,advertised easi use love color also dimens
22,Home_and_Kitchen_5,5.0,CG,exactli pictured love look feel thi pillow
23,Home_and_Kitchen_5,5.0,CG,fantastic wanted love look feel thi pillow
24,Home_and_Kitchen_5,5.0,CG,suppos come extra hardware onli problem realli vacuum
25,Home_and_Kitchen_5,5.0,CG,easi use seem easi way make smoothi small person
26,Home_and_Kitchen_5,2.0,CG,accustom onli reason gave star becaus
27,Home_and_Kitchen_5,5.0,CG,nice product seller yes veri thin plastic piece however handl ha
28,Home_and_Kitchen_5,5.0,CG,good bought second set look like first one sure
29,Home_and_Kitchen_5,5.0,CG,wonder aroma throughout house onli problem kind hard put
30,Home_and_Kitchen_5,5.0,CG,receiv time flat love look husband like
31,Home_and_Kitchen_5,3.0,CG,okay nice one got local store
32,Home_and_Kitchen_5,3.0,CG,gave away thought would good addit kitchen veri
33,Home_and_Kitchen_5,4.0,CG,product fine wish option separ handle
34,Home_and_Kitchen_5,5.0,CG,awesom say materi good qualiti decent
35,Home_and_Kitchen_5,3.0,CG,way heavi everyday use onli reason gave star becaus one
36,Home_and_Kitchen_5,5.0,CG,well made work great wooden part cup coupl
37,Home_and_Kitchen_5,5.0,CG,bought go old suction cup also love remov
38,Home_and_Kitchen_5,5.0,CG,expected look great ha design make nice place babi
39,Home_and_Kitchen_5,1.0,CG,aw experience everyth stuck cook evenly onli problem realli
40,Home_and_Kitchen_5,5.0,CG,doe great job keep suction also love n't slide
41,Home_and_Kitchen_5,2.0,CG,sheet color nice buy size town
42,Home_and_Kitchen_5,5.0,CG,save instead origin ship box keep money veri pretty
43,Home_and_Kitchen_5,5.0,CG,towel real nice love feel nice feel
44,Home_and_Kitchen_5,5.0,CG,work great easi clean easi clean purchas veri pretti
45,Home_and_Kitchen_5,3.0,CG,alright price wa littl disappoint qualiti product
46,Home_and_Kitchen_5,4.0,CG,great quality beauti color one month love
47,Home_and_Kitchen_5,1.0,CG,put paper one corner cabinet put piec paper corner
48,Home_and_Kitchen_5,5.0,CG,great sticker littl small onli reason gave star becaus one
49,Home_and_Kitchen_5,5.0,CG,great qualiti fabric look great thick enough hold small amount coffe
50,Home_and_Kitchen_5,5.0,CG,perfect exactli need keep long time
51,Home_and_Kitchen_5,5.0,CG,love thi movi time took finish keep review next time
52,Home_and_Kitchen_5,1.0,CG,seal properly atroci littl one feel like break throw
53,Home_and_Kitchen_5,5.0,CG,got third time small dog son love throw
54,Home_and_Kitchen_5,5.0,CG,excel product much better qualiti one get walmart
55,Home_and_Kitchen_5,5.0,OR,perfect exactli wa look
56,Home_and_Kitchen_5,5.0,OR,great purchas ca n't beat price
57,Home_and_Kitchen_5,5.0,OR,say -- cheap work intended
58,Home_and_Kitchen_5,5.0,OR,nice sturdy like color choic
59,Home_and_Kitchen_5,5.0,OR,nice bowl fast shipping
